Indonesian,English
rumah,house
mobil,car
buku,book
kucing,cat
anjing,dog
meja,table
kursi,chair
sepeda,motorcycle
roti,bread
ayam,chicken
telur,egg
kuda,horse
taman,garden
pohon,tree
bunga,flower
air,water
api,fire
tanah,soil
gunung,mountain
danau,lake
jalur,line
kaca,glass
cermin,mirror
lampu,lamp
bola,ball
sepatu,shoe
topi,hat
kaos,t-shirt
celana,pants
rok,skirt
kemeja,shirt
jaket,jacket
jam,timer
kalender,calendar
kamera,camera
matahari,sun
bulan,moon
bintang,star
awan,cloud
hujan,rain
salju,snow
angin,wind
bumi,earth
langit,sky
laut,ocean
alat tool,pencil
pulpen,pen
tinta,ink
buku catatan,notebook
buku tulis,exercise book
kertas,paper
pensil,pencil
penghapus,eraser
spidol,marker
penggaris,ruler
segitiga,triangle
persegi,square
lingkaran,circle
oval,oval
gambar,picture
frame,frame
pajangan,decoration
karpet,carpet
lantai,floor
dinding,wall
atap,roof
pintu,door
jendela,window
tirai,curtain
sabun,soap
sikat gigi,toothbrush
pasta gigi,toothpaste
shampo,shampoo
sikat rambut,hairbrush
gunting,scissors
pisau,knife
garpu,fork
sendok,spoon
piring,plate
gelas,glass
mangkuk,bowl
teko,teapot
panci,pan
wajan,frying pan
kompor,stove
kulkas,refrigerator
oven,oven
meja makan,dining table
kursi makan,dining chair
tidur,bed
lemari,wardrobe
rak,basket
karpet,lamp
lampu tidur,bedside lamp
meja belajar,study desk
kursi belajar,study chair
komputer,computer
laptop,laptop
mouse,mouse
keyboard,keyboard
monitor,monitor
printer,printer
proyektor,projector
kabel,cable
baterai,battery
charger,charger
earphone,earphone
speaker,speaker
televisi,television
remote,remote control
kulkas mini,mini refrigerator
mesin cuci,washing machine
ac,air conditioner
kipas angin,fan
panci kukus,steamer
setrika,iron
blender,blender
juicer,juicer
mixer,mixer
piring mangkok,set of plates and bowls
sendok garpu pisau,set of spoon fork and knife
teko listrik,electric kettle
kompor gas,gas stove
perabotan, furniture
sofa,sofa
karpet ruang tamu,living room carpet
lemari buku,bookshelf
rak buku,bookcase
rak sepatu,shoe rack
cermin dinding,wall mirror
gantungan baju,coat hanger
tirai jendela,window curtains
kursi goyang,rocking chair
tikar,bamboo mat
tenda,camping tent
kasur udara,inflatable mattress
tabung gas,gas cylinder
pemanas air,water heater
panci presto,pressure cooker
ceret,pitcher
piring makanan,food plate
piring saji,serving plate
teko teh,teapot for tea
piring cangkir,set of plates and cups
toples,glass jar
gelas kopi,coffee mug
piring kue,cake plate
piring tahu,soybean cake plate
piring nasi,rice plate
piring sereal,cereal bowl
piring salad,salad plate
piring takir,noodle bowl
piring sajian,serving tray
piring soup,soup plate
piring sayur,vegetable plate
piring steak,steak plate
piring rendang,rendang plate
piring bakso,meatball plate
piring sate,satay plate
piring kari,curry plate
piring sushi,sushi plate
piring kimbap,kimbap plate
piring dimsum,dimsum plate
piring seafood,seafood plate
piring es,ice plate
piring pizza,pizza plate
piring dessert,dessert plate
piring sandwich,sandwich plate
piring camilan,snack plate
piring antipasti,antipasti plate
piring tapas,tapas plate
piring cokelat,chocolate plate
piring salad buah,fruit salad plate
piring cheese,cheese plate
piring pancake,pancake plate
piring waffle,waffle plate
piring sup,soup bowl
piring pasta,pasta plate
piring mie,noodle plate
piring bubur,porridge bowl
piring oatmeal,oatmeal bowl
piring baskom,bowl for washing
piring lada,pepper plate
piring gula,sugar plate
piring garam,salt plate
piring cabe,chili plate
piring mayones,mayonnaise plate
piring mustard,mustard plate
piring acar,pickle plate
piring ketchup,ketchup plate
piring saus,sauce plate
piring saus tomat,tomato sauce plate
piring saus sambal,chili sauce plate
piring saus barbekyu,barbecue sauce plate
halo, hello
saya, I
kami, we
mereka, they
hai, hi
pagi, good morning
siang, good afternoon
malam, good evening
selamat tidur, good night
selamat, congratulation
